;;;;;;;;;;;;
Dimensió 1;;Dimensió 2;;Dimensió 3;;;;;;;;
LN00000 CENTRAL;;CCC00002;CENTRAL CAL BLAY;;???;;;;;;;
;;;;DEQ0004;COMERCIAL VILAR DUQ.;;;;;;;
LN00003 CASAMENTS;;CCB00002;CASAMENTS MIRADOR;DBI0001;SALA;;;;;;;
;;;;DBI0002;CUINA;;;;;;;
;;;;DBI0003;NETEJA;;;;;;;
;;;;DBI0004;LOGISTICA;;;;;;;
;;CCB00003;CASAMENTS CAN PARELLADA;DBC0001;SALA;;;;CCC0;;;
;;;;DBC0002;CUINA;;;;CCC00010;CB BEGUDES;;
;;;;DBC0003;NETEJA;;;;CCC00011;CB MATERIAL;;
;;;;DBC0004;LOGISTICA;;;;CCC00012;CB PARAMENT;;
;;CCB00004;CASAMENTS JOSEP MASACHS;DBP0001;SALA;;;;CCC00013;CB EMBALATGE CUINA;;
;;;;DBP0002;CUINA;;;;CCC00014;CB NETEJA;;
;;;;DBP0003;NETEJA;;;;CCC00015;CB MATERIAL OFICINA;;
;;;;DBP0004;LOGISTICA;;;;CCC00016;CB CONGELAT;;
;;CCB00005;CASAMENTS  FDLC;DBF0001;SALA;;;;CCC00017;CB FRESC;;
;;;;DBF0002;CUINA;;;;CCC00018;CB PEIXATERIA;;
;;;;DBF0003;NETEJA;;;;CCC00019;CB SEC;;
;;;;DBF0004;LOGISTICA;;;;CCC00020;CB BASES;;
;;CCB00006;CASAMENTS  CLOS ;DBL0001;SALA;;;;CCC00021;CB PRECUINATS CCEE;;
;;;;DBL0002;CUINA;;;;;;;
;;;;DBL0003;NETEJA;;;;;;;
;;;;DBL0004;LOGISTICA;;;;;;;
;;CCB00007;CASAMENTS LA MASIA ;DBM0001;SALA;;;;;;;
;;;;DBM0002;CUINA;;;;;;;
;;;;DBM0003;NETEJA;;;;;;;
;;;;DBM0004;LOGISTICA;;;;;;;
;;CCB00008;CASAMENTS SESOLIVERES;DBS0001;SALA;;;;;;;
;;;;DBS0002;CUINA;;;;;;;
;;;;DBS0003;NETEJA;;;;;;;
;;;;DBS0004;LOGISTICA;;;;;;;
;;;;DBS0005;COMERCIAL;;;;;;;
;;CCB0000;ADMINSTRACIO CASAMENTS;DBB0001;COMERCIAL;;;;;;;
;;CCB00001;EVENTS CASAMENTS;DBE0001;SALA;;;;;;;
;;;;DBE0002;CUINA;;;;;;;
;;;;DBE0003;NETEJA;;;;;;;
;;;;DBE0004;LOGISTICA;;;;;;;
;;CCB00009;CASAMENTS VILAR DE LA DUQUESA;DBQ0001;SALA;;;;;;;
;;;;DBQ0002;CUINA;;;;;;;
;;;;DBQ0003;NETEJA;;;;;;;
;;;;DBQ0004;LOGISTICA;;;;;;;
LN00004 PRECUINATS;;CCC00001;AMETLLER;DPP0001;OBRADOR;;;;;;;
;;;;DPP0004;ASSEMBLATGE;;;;;;;
;;;;DPP0005;COCCIO;;;;;;;
;;;;DPP0006;PREPARADOR;;;;;;;
;;CCC0002;CUINA D'EN FELIX;DPP0007;COMERCIAL;;;;;;;
;;CCC0003;LA SIRENA;DDP0008;;;;;;;;
;;CCP00014;CENTRE PRODUCCIO;;;;;;;;;
LN00005 FIRES & FESTIVALS;;CCF00001;FIRES I FESTIVALS;DFF0001;ADMINSTRACIO;;;;;;;
;;;;DFF0002;COMERCIAL;;;;;;;
;;;;DFF0003;SALA;;;;;;;
;;;;DFF0004;CUINA;;;;;;;
;;;;DFF0005;NETEJA;;;;;;;
;;;;DFF0006;LOGISTICA;;;;;;;
;;CCF00002;FESTIVAL TARRACO;DFT0001;SALA;;;;;;;
;;;;DFT0002;CUINA;;;;;;;
;;;;DFT0003;NETEJA;;;;;;;
;;;;DFT0004;LOGISTICA;;;;;;;
;;CCF00003;FESTIVAL NITS DE BARCELONA;DFN0001;SALA NDB;;;;;;;
;;;;DFN0002;CUINA NDB;;;;;;;
;;;;DFN0003;NETEJA NDB;;;;;;;
;;;;DFN0004;LOGISTICA NDB;;;;;;;
;;CCF00004;FESTIVAL JARDINS DE TERRAMAR ;DFJ0001;SALA JDT;;;;;;;
;;;;DFJ0002;CUINA JDT;;;;;;;
;;;;DFJ0003;NETEJA JDT;;;;;;;
;;;;DFJ0004;LOGISTICA JDT;;;;;;;
;;CCF00005;FESTIVAL ALMA  (POBLE NOU);DFA0001;SALA ALM;;;;;;;
;;;;DFA0002;CUINA ALM;;;;;;;
;;;;DFA0003;NETEJA ALM;;;;;;;
;;;;DFA0004;LOGISTICA ALM;;;;;;;
;;CCF00006;FESTIVAL SONAR ;DFS0001;SALA SON;;;;;;;
;;;;DFS0002;CUINA SON;;;;;;;
;;;;DFS0003;NETEJA SON;;;;;;;
;;;;DFS0004;LOGISTICA SON;;;;;;;
;;CCF00007;FESTIVAL VIDA;DFV0001;SALA VIDA;;;;;;;
;;;;DFV0002;CUINA VIDA;;;;;;;
;;;;DFV0003;NETEJA VIDA;;;;;;;
;;;;DFV0004;LOGISTICA VIDA;;;;;;;
LN00006 GREEN VITA;;CCR00011;RESTAURANT GREEN VITA;DRG0001;NETEJA;;;;;;;
;;;;DRG0002;CUINA;;;;;;;
;;;;DRG0003;SALA;;;;;;;
;;;;DRG0004;COMERCIAL;;;;;;;
LN00007 EMPRESA FDLC;;CCH00001;FDLC HOTEL;DFH0001;ALLOTJAMENTS;;;;;;;
;;;;DFH0002;RESTAURANT;;;;;;;
;;;;DFH0003;GESTIO;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
